best_params,categorical_features,clf_params,dataset,label,model,numeric_features,score,seed,training_score
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 12, 'classifier__p': 3}","['school', 'sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'reason', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Dalc,knn,"['age', 'absences', 'G1', 'G2', 'G3']",0.7171717171717171,833824567,0.6976351351351351
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 6, 'classifier__p': 3}","['school', 'sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'reason', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Walc,knn,"['age', 'absences', 'G1', 'G2', 'G3']",0.4696969696969697,500248081,0.44425675675675674
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 16, 'classifier__p': 3}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Dalc,knn,"['age', 'absences', 'G3']",0.6818181818181818,77432299,0.7195945945945946
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 6, 'classifier__p': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Walc,knn,"['age', 'absences', 'G3']",0.40404040404040403,421872969,0.4189189189189189
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 4, 'classifier__p': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Dalc,knn,"['age', 'absences', 'G1', 'G2', 'G3']",0.6818181818181818,719132037,0.7111486486486487
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 16, 'classifier__p': 2}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Walc,knn,"['age', 'absences', 'G1', 'G2', 'G3']",0.42424242424242425,500625756,0.4408783783783784
"{'classifier__leaf_size': 5, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 6, 'classifier__p': 3}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Dalc,knn,['age'],0.6919191919191919,831912362,0.6993243243243243
"{'classifier__leaf_size': 10, 'classifier__n_jobs': -1, 'classifier__n_neighbors': 6, 'classifier__p': 3}","['sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'guardian', 'famsup', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__leaf_size': [5, 10, 15, 20, 25, 30, 35, 40, 45], 'classifier__n_jobs': [-1], 'classifier__n_neighbors': [4, 6, 8, 10, 12, 14, 16, 18], 'classifier__p': [2, 3]}",../student-alcohol-consumption/students.csv,Walc,knn,['age'],0.3939393939393939,235196106,0.40202702702702703
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['school', 'sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'reason', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Dalc,logistic_regression,"['age', 'absences', 'G1', 'G2', 'G3']",0.6565656565656566,533430301,0.7179054054054054
"{'classifier__C': 0.1, 'classifier__multi_class': 'auto', 'classifier__n_jobs': -1, 'classifier__solver': 'lbfgs', 'classifier__tol': 0.0001, 'classifier__verbose': 2}","['school', 'sex', 'address', 'famsize', 'Pstatus', 'Medu', 'Fedu', 'Mjob', 'Fjob', 'reason', 'guardian', 'traveltime', 'studytime', 'failures', 'schoolsup', 'famsup', 'paid', 'activities', 'nursery', 'higher', 'internet', 'romantic', 'famrel', 'freetime', 'goout', 'health']","{'classifier__C': {'dtype': 'float64', 'py/object': 'numpy.ndarray', 'values': [0.1]}, 'classifier__multi_class': ['auto'], 'classifier__n_jobs': [-1], 'classifier__solver': ['lbfgs', 'liblinear'], 'classifier__tol': [0.0001, 0.01, 0.001, 1e-05], 'classifier__verbose': [2]}",../student-alcohol-consumption/students.csv,Walc,logistic_regression,"['age', 'absences', 'G1', 'G2', 'G3']",0.5404040404040404,54416649,0.4983108108108108
